Date,CPI,b_trade,xchange_rate
2005-02-01,113.446285,2709.547332,2.5978
2005-03-01,126.08178749999999,3259.821345,2.7047
2005-04-01,123.58694500000001,3811.358703,2.5792
2005-05-01,124.59280500000001,3363.013106,2.4528
2005-06-01,131.6909725,3909.809597,2.4135
2005-07-01,134.5121925,4914.304041,2.3735
2005-08-01,127.90785,3536.800337,2.3606
2005-09-01,122.83388250000002,4235.913345,2.2944
2005-11-01,119.79570749999999,3962.141673,2.2108
2005-12-01,122.8266625,4318.452531,2.2855
2006-01-01,123.190065,3296.6959955,2.2111
2006-02-01,123.98691249999999,2711.567288,2.1619
2006-03-01,122.73251499999999,3582.864542,2.152
2006-04-01,124.392865,2957.283666,2.1293
2006-05-01,127.35096250000001,2884.696318,2.1781
2006-06-01,126.5669825,3959.605435,2.2483
2006-07-01,129.7885975,5518.781267,2.1893
2006-08-01,127.1279375,4504.365424,2.1559
2006-09-01,124.790615,4326.451382,2.1687
2006-11-01,146.950815,3187.681712,2.1579
2006-12-01,146.5324,4951.014864,2.1499
2007-01-01,148.496125,2842.2814614999998,1.9697500000000001
2007-02-01,157.8760825,2780.250789,2.09625
2007-03-01,156.396415,3278.533246,2.0887
2007-04-01,151.45661,4062.114383,2.032
2007-05-01,156.30173,3738.778479,1.9816
2007-06-01,163.61688500000002,3665.110118,1.9319
2007-07-01,162.9068375,3220.335139,1.8828
2007-08-01,162.19636,3415.912393,1.966
2007-09-01,175.638315,3306.44881,1.8996
2007-11-01,192.2782275,1853.979732,1.7699
2007-12-01,203.1787375,3492.271623,1.786
2008-01-01,220.091165,1041.2627920000004,1.9736
2008-02-01,237.3366275,710.738112999999,1.7277
2008-03-01,234.4991625,853.261688000002,1.7076
2008-04-01,235.4818225,1597.627038,1.6889
2008-05-01,244.9427225,3946.96517,1.6605
2008-06-01,275.184745,2574.747521,1.6189
2008-07-01,271.70819,3205.00181500001,1.5914
2008-08-01,239.0247625,2190.831587,1.6123
2008-09-01,224.1384875,2604.038986,1.7996
2008-11-01,165.4083575,1480.814395,2.2663
2008-12-01,157.29147749999998,2260.400562,2.3944
2009-01-01,173.74721499999998,378.077583999999,2.0229
2009-02-01,163.292395,1724.21091,2.3127
2009-03-01,164.2609925,1727.735327,2.3138
2009-04-01,177.129825,3671.958711,2.2059
2009-05-01,195.013935,2551.300941,2.0609
2009-06-01,203.83223249999998,4654.846368,1.9576
2009-07-01,184.6918575,2864.361233,1.9328
2009-08-01,189.19941,3000.664843,1.8452
